id,descripcion,canal_origen,categoria_real,tiempo_manual_s,tiempo_automatizado_s
1,No puedo aprobar las solicitudes de compras en el sistema. El boton de aprobacion no aparece en la bandeja.,correo,Operaciones,154.50,17.49
2,El touchpad de la notebook de Maria Garcia no responde. Tengo que usar mouse externo para todo.,llamada,Soporte Técnico,155.77,21.08
3,El sistema de archivos del servidor Gerencia esta lleno. Los usuarios no pueden guardar documentos.,correo,Sistemas,155.14,12.06
4,El puerto USB del frente de mi PC no funciona. Probe con dos pendrives distintos y no los reconoce.,llamada,Soporte Técnico,172.93,17.10
5,Hay un problema con la infraestructura de red en planta baja. Los switches no estan respondiendo.,llamada,Sistemas,151.68,18.68
6,El servidor de base de datos no responde y los usuarios del area de Calidad no pueden acceder al sistema. Caido desde las 4 AM.,correo,Sistemas,169.06,22.97
7,Diego Gonzalez cambio de area de Contabilidad a Finanzas. Hay que actualizar sus permisos y accesos en todos los sistemas.,formulario,Operaciones,185.49,18.65
8,Se detecto un pico anormal de trafico saliente del servidor de Administracion. Posible brecha de seguridad.,correo,Sistemas,131.50,14.04
9,La impresora de piso 1 imprime todo borroso. Las hojas salen con manchas y una raya negra en el borde.,llamada,Soporte Técnico,169.61,23.58
10,Se cayo el servidor SRV-APP-01. Todo Administracion esta parado sin poder trabajar. Timeout en todas las consultas.,correo,Sistemas,161.69,17.76
11,No me puedo conectar al servidor de Mantenimiento por RDP. Dice que el equipo no esta disponible en la red.,formulario,Sistemas,180.65,12.24
12,No puedo conectarme a la VPN corporativa. Autenticacion fallida. Ya reinstale el cliente y sigue igual.,correo,Sistemas,147.99,20.21
13,El workflow de aprobacion de horas extra de Ventas tiene 15 solicitudes pendientes. Nadie las esta revisando.,correo,Operaciones,193.87,17.21
14,La conexion a la base de datos se corta constantemente. Error de timeout en el pool de conexiones.,correo,Sistemas,174.65,19.22
15,El escaner de codigo de barras del area de deposito no funciona. No podemos hacer el inventario.,llamada,Soporte Técnico,190.35,13.64
16,Necesito un cable de red nuevo para mi puesto. El actual hace falso contacto y pierdo la conexion.,correo,Soporte Técnico,182.06,11.99
17,No puedo acceder al servidor de archivos compartidos. Me aparece error de permisos. El backup nocturno tampoco se ejecuto.,correo,Sistemas,96.00,15.71
18,El escaner de documentos del area de Sistemas no digitaliza. Tira error de comunicacion con la PC.,correo,Soporte Técnico,124.63,21.79
19,Hay que dar de alta a tres pasantes nuevos en Contabilidad. Necesitan acceso basico a los sistemas de gestion.,correo,Operaciones,185.78,13.20
20,El proceso de evaluacion de desempeno de Ventas no se completo. Los formularios no se enviaron a los empleados.,correo,Operaciones,192.87,14.09
21,No me puedo conectar al servidor de Sistemas por RDP. Dice que el equipo no esta disponible en la red.,correo,Sistemas,156.74,17.00
22,Los auriculares con microfono no funcionan. Tengo reunion por Teams en 10 minutos y no puedo participar.,correo,Soporte Técnico,164.50,21.56
23,El contrato de servicios profesionales con el proveedor de Auditoria no esta cargado en el sistema de compras.,correo,Operaciones,184.78,19.63
24,Necesito que me habiliten el acceso al sistema de gestion para el equipo de Calidad. Somos 4 personas.,correo,Operaciones,185.23,20.16
25,No puedo hacer la rendicion de gastos del viaje. El formulario de solicitud rechaza los comprobantes digitales.,formulario,Operaciones,135.81,15.26
26,Mi PC no enciende. Aprieto el boton y no hace nada. La pantalla quedo completamente negra.,correo,Soporte Técnico,141.89,20.25
27,El proxy reverso del servidor web no funciona. Las aplicaciones web no son accesibles desde afuera.,correo,Sistemas,150.39,27.78
28,El monitor de la sala de reuniones no detecta la señal de la notebook. Ya probamos todos los cables.,formulario,Soporte Técnico,128.37,13.69
29,La impresora de piso 2 imprime todo borroso. Las hojas salen con manchas y una raya negra en el borde.,correo,Soporte Técnico,189.81,24.03
